OBJECT_NAME,a [km],e [rad],I [deg],L [deg],long.peri.  [deg],long.node.  [deg],OBJECT_ID,EPOCH,MEAN_MOTION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ATLAS CENTAUR 2,7242.070337,0.0561291,30.3547,577.5717,401.3895,217.9129,1963-047A,2024-10-05T04:39:49.594464,14.08667236,217.9129,183.4766,176.1822,0,U,694,999,5769,6.19E-04,5.03E-05,0
THOR AGENA D R/B,7158.410644,0.0032814,99.0885,614.268,589.2024,254.3095,1964-002A,2024-10-05T11:45:06.978240,14.33433695,254.3095,334.8929,25.0656,0,U,733,999,16419,7.67E-04,2.08E-05,0
SL-3 R/B,7069.358823,0.005639,65.0797,415.8628,212.4224,55.4976,1964-053B,2024-10-05T11:33:25.809408,14.60603989,55.4976,156.9248,203.4404,0,U,877,999,19079,6.39E-04,3.07E-05,0
SL-8 R/B,7120.463741,0.006488,74.0116,600.5815,252.1843,240.3148,1967-045B,2024-10-04T20:47:30.615648,14.4490769,240.3148,11.8695,348.3972,0,U,2802,999,1377,8.89E-04,3.15E-05,0
SL-8 R/B,6952.080782,0.0028251,74.0324,652.5196,548.7371,292.7152,1968-040B,2024-10-05T11:06:05.064768,14.97718887,292.7152,256.0219,103.7825,0,U,3230,999,3320,1.02E-03,1.20E-04,0
OAO 2,7114.403595,0.00057,34.9935,650.6963,629.1753,290.6513,1968-110A,2024-10-05T02:59:16.536480,14.46754271,290.6513,338.524,21.521,0,U,3597,999,94413,5.20E-04,1.89E-05,0
ISIS 1,8388.470772,0.1710012,88.4479,587.9672,271.6419,212.0758,1969-009A,2024-10-05T07:30:53.262144,11.29999699,212.0758,59.5661,316.3253,0,U,3669,999,29008,1.07E-03,1.52E-05,0
SERT 2,7418.751307,0.0005744,99.2012,307.7679,301.6352,241.384,1970-009A,2024-10-04T22:15:34.164864,13.58645961,241.384,60.2512,6.1327,0,U,4327,999,70917,2.70E-04,1.57E-06,0
SL-3 R/B,6845.66658,0.0030907,81.2474,679.9692,631.7534,320.1101,1971-028B,2024-10-04T20:01:21.769536,15.3277676,320.1101,311.6433,48.2158,0,U,5118,999,90821,1.03E-03,3.31E-04,0
ASTEX 1,7104.614157,0.0017364,92.7182,703.7916,390.5726,343.5258,1971-089A,2024-10-05T11:20:27.938976,14.49745522,343.5258,47.0468,313.219,0,U,5560,999,78718,8.73E-04,3.37E-05,0
SL-8 R/B,7187.620488,0.0601495,73.8916,424.8759,191.8697,59.5034,1971-119B,2024-10-05T12:17:33.696384,14.2470456,59.5034,132.3663,233.0062,0,U,5730,999,58101,1.89E-03,3.30E-04,0
COSMOS 482 DESCENT CRAFT,6967.185432,0.0583375,51.985,580.8823,272.9373,215.2737,1972-023E,2024-10-05T13:12:01.794528,14.92851013,215.2737,57.6636,307.945,0,U,6073,999,71795,2.47E-04,1.84E-03,9.22E-06
OAO 3 (COPERNICUS),7073.88479,0.0007142,35.0076,475.9146,250.4413,19.6592,1972-065A,2024-10-05T11:32:56.399712,14.59202442,19.6592,230.7821,225.4733,0,U,6153,999,77041,5.59E-04,2.66E-05,0
ATLAS CENTAUR R/B,7022.701305,0.003611,35.0008,480.3103,422.768,120.5903,1972-065B,2024-10-03T14:10:48.385056,14.7518411,120.5903,302.1777,57.5423,0,U,6155,999,78495,9.71E-04,6.72E-05,0
SL-8 R/B,7144.350925,0.001449,74.0594,615.9437,374.9306,255.6833,1975-112B,2024-10-05T09:40:01.777440,14.37667163,255.6833,119.2473,241.0131,0,U,8459,999,55729,6.18E-04,1.83E-05,0
SL-3 R/B,6851.112266,0.0009764,97.5245,423.2133,65.1439,63.0854,1977-057B,2024-10-03T15:38:31.420320,15.30949605,63.0854,2.0585,358.0694,0,U,10114,999,58806,7.21E-04,2.16E-04,0
SEASAT 1,7119.284974,0.0002139,108.0046,474.1091,361.561,114.0172,1978-064A,2024-10-05T02:57:37.095264,14.45266563,114.0172,247.5438,112.5481,0,U,10967,999,43158,7.22E-04,2.40E-05,0
SL-14 R/B,6973.70008,0.0016331,82.5247,590.4105,233.342,230.2789,1979-011B,2024-10-04T21:18:08.414496,14.90759628,230.2789,3.0631,357.0685,0,U,11267,999,47235,4.12E-04,4.08E-05,0
SL-8 R/B,7130.836389,0.0017033,74.0706,693.5549,612.4878,333.6322,1979-089B,2024-10-05T11:09:02.672064,14.41756152,333.6322,278.8556,81.0671,0,U,11574,999,36131,5.11E-04,1.65E-05,0
SL-14 R/B,6976.762119,0.0017549,82.5121,441.0355,178.7335,80.7145,1980-005B,2024-10-05T00:40:38.589024,14.89778314,80.7145,98.019,262.302,0,U,11672,999,42004,3.77E-04,3.65E-05,0
SL-8 R/B,6984.387166,0.0348553,82.9405,405.1494,203.8498,43.6351,1981-003B,2024-10-04T20:08:04.784928,14.87339332,43.6351,160.2147,201.2996,0,U,12139,999,23662,1.74E-03,5.02E-04,0
SL-3 R/B,6860.390129,0.0026883,81.2403,548.4005,209.9369,188.1634,1981-046B,2024-10-05T03:32:45.704544,15.27845014,188.1634,21.7735,338.4636,0,U,12465,999,37164,9.86E-04,2.72E-04,0
METEOR PRIRODA,6808.347704,0.0009863,97.5343,671.7181,360.9026,311.5076,1981-065A,2024-10-04T15:14:32.432640,15.45396522,311.5076,49.395,310.8155,0,U,12585,999,36278,9.61E-04,4.61E-04,0
SL-3 R/B,6901.994862,0.0018759,81.1592,462.6159,356.9509,102.7,1981-103B,2024-10-03T14:06:32.548608,15.14051242,102.7,254.2509,105.665,0,U,12904,999,89402,6.62E-04,1.21E-04,0
SL-3 R/B,6897.823235,0.0025324,81.1788,408.9007,178.2721,48.5541,1982-013B,2024-10-04T19:46:06.904128,15.15424939,48.5541,129.718,230.6286,0,U,13068,999,32527,8.29E-04,1.58E-04,0
SL-3 R/B,6929.124215,0.0034171,81.1775,454.5668,330.1222,94.7668,1982-039B,2024-10-03T14:37:40.112256,15.05168085,94.7668,235.3554,124.4446,0,U,13154,999,30322,6.92E-04,1.00E-04,0
SL-3 R/B,6894.901811,0.002936,81.147,446.5177,209.3482,86.1128,1982-079B,2024-10-03T13:07:15.483936,15.16388187,86.1128,123.2354,237.1695,0,U,13403,999,29854,8.06E-04,1.59E-04,0
COSMOS 1408,6666.229068,0.0004616,82.5408,484.1356,392.6816,124.0609,1982-092A,2024-10-05T03:30:35.974080,15.95078906,124.0609,268.6207,91.454,0,U,13552,999,30602,1.02E-03,3.96E-03,6.07E-05
SL-14 R/B,6989.465635,0.0019546,82.5646,695.5,491.9251,268.0876,1982-092B,2024-10-05T02:20:44.920896,14.857186,268.0876,223.8375,203.5749,0,U,13553,999,27268,3.31E-04,2.90E-05,0
