full_name,pha,diameter,rot_per,e [rad],a [au],I [deg],L [deg],long.node.  [deg],long.peri.  [deg],ma,n,per_y
  1566 Icarus (1949 MA),Y,1,2.2726,0.827,1.078,22.8,280.24,87.95,31.43,160.86,0.8805,1.12
  1620 Geographos (1951 RA),Y,2.56,5.22204,0.3356,1.246,13.34,903.52,337.15,277.01,289.36,0.709,1.39
  1685 Toro (1948 OA),N,3.4,10.1995,0.4361,1.368,9.38,597.74,274.21,127.27,196.26,0.616,1.6
  1862 Apollo (1932 HA),Y,1.5,3.065,0.5599,1.471,6.35,574.46,35.56,286.03,252.87,0.5527,1.78
  1863 Antinous (1948 EA),N,2.1,7.453,0.6063,2.261,18.35,788.4,346,268.57,173.83,0.2898,3.4
  1864 Daedalus (1971 FA),N,3.7,8.572,0.6143,1.461,22.21,366.55,6.61,325.66,34.28,0.5581,1.77
  1865 Cerberus (1971 UA),N,1.2,6.8039,0.4668,1.08,16.1,866.57,212.89,325.29,328.39,0.8782,1.12
  1866 Sisyphus (1972 XA),N,8.48,2.4,0.538,1.894,41.21,705.91,63.45,293.12,349.34,0.3782,2.61
  1981 Midas (1973 EA),Y,3.4,5.22,0.6505,1.776,39.82,883.45,356.8,267.84,258.81,0.4163,2.37
  2063 Bacchus (1977 HB),N,1.024,14.904,0.3494,1.078,9.44,330.93,33.04,55.34,242.55,0.8806,1.12
  2101 Adonis (1936 CA),Y,0.6,,0.7642,1.874,1.32,623.94,349.43,43.69,230.82,0.3842,2.57
  2102 Tantalus (1975 YA),Y,1.649,2.384,0.2993,1.29,64,234.14,94.35,61.52,78.27,0.6726,1.47
  2135 Aristaeus (1977 HA),Y,,,0.503,1.6,23.07,684.39,191.11,290.97,202.31,0.4871,2.02
  2201 Oljato (1947 XC),Y,1.8,26,0.7107,2.179,2.52,507.66,74.87,98.37,334.42,0.3065,3.22
  2212 Hephaistos (1978 SB),N,5.7,48,0.8361,2.166,11.31,421.87,27.01,210.05,184.81,0.3091,3.19
  2329 Orthos (1976 WA),N,,4.6473,0.6533,2.41,24.46,641.32,169.28,146.05,325.99,0.2634,3.74
  3103 Eger (1982 BB),N,1.5,5.7103,0.3542,1.404,20.93,687.97,129.73,254.12,304.12,0.5924,1.66
  3200 Phaethon (1983 TB),Y,6.25,3.604,0.8898,1.271,22.31,836.39,265.1,322.31,248.98,0.6875,1.43
  3360 Syrinx (1981 VA),N,1.8,,0.7457,2.468,21.14,355.6,242.46,63.56,49.58,0.2542,3.88
  3361 Orpheus (1982 HR),Y,0.3,3.5327,0.3229,1.21,2.66,515.56,188.68,302.34,24.54,0.7401,1.33
  3671 Dionysus (1984 KD),Y,1.5,2.7053,0.542,2.2,13.54,417.73,82.05,204.33,131.35,0.302,3.26
  3752 Camillo (1985 PA),N,2.306,37.846,0.3016,1.414,55.56,468.97,147.96,312.22,8.79,0.5864,1.68
  3757 Anagolay (1982 XB),Y,0.5,9.012,0.4459,1.834,3.87,385.87,74.93,17.24,293.7,0.3967,2.48
  3838 Epona (1986 WA),N,,2.3812,0.7027,1.505,29.2,510.95,235.47,49.72,225.76,0.534,1.85
  4015 Wilson-Harrington (1979 VA),Y,4,3.5736,0.6312,2.626,2.8,544,266.73,95.52,181.75,0.2317,4.25
  4034 Vishnu (1986 PA),Y,0.42,44.4,0.4441,1.06,11.17,714.99,157.89,296.7,260.4,0.9037,1.09
  4179 Toutatis (1989 AC),Y,5.4,176,0.6248,2.543,0.45,742.92,125.36,277.88,339.68,0.243,4.06
  4183 Cuno (1959 LM),Y,3.651,3.5595,0.6361,1.981,6.67,707.28,294.35,237.02,175.91,0.3536,2.79
  4197 Morpheus (1982 TA),N,1.8,3.538,0.7724,2.295,12.6,486.67,7.01,122.55,357.11,0.2835,3.48
  4257 Ubasti (1987 QA),N,,4.4,0.4683,1.647,40.72,609.04,169.15,278.94,160.95,0.4662,2.11
